sec_code,ticker,year,high,low,days,updated_at
7464,7464.T,2018,1638.76,1139.58,261,2026-08-24
7464,7464.T,2019,1687.04,1310.28,241,2026-08-24
7464,7464.T,2020,1836.62,1196.64,242,2026-08-24
7464,7464.T,2021,1907.76,1633.0,245,2026-08-24
7464,7464.T,2022,1936.76,1574.91,244,2026-08-24
7464,7464.T,2023,2022.95,1625.85,246,2026-08-24
7464,7464.T,2024,1994.06,1477.83,245,2026-08-24
7464,7464.T,2025,1784.41,1536.79,243,2026-08-24
7464,7464.T,2026,1695.77,1515.0,156,2026-08-24
7521,7521.T,2016,1282.36,1137.41,87,2026-08-24
7521,7521.T,2017,1857.0,1246.42,253,2026-08-24
7521,7521.T,2018,2090.53,1525.76,261,2026-08-24
7521,7521.T,2019,2342.5,1535.36,241,2026-08-24
7521,7521.T,2020,2203.09,1217.77,242,2026-08-24
7521,7521.T,2021,2009.02,1526.7,245,2026-08-24
7521,7521.T,2022,1670.62,1253.17,244,2026-08-24
7521,7521.T,2023,1763.86,1306.1,246,2026-08-24
7521,7521.T,2024,1828.92,1500.73,245,2026-08-24
7521,7521.T,2025,2357.11,1418.36,243,2026-08-24
7521,7521.T,2026,3030.0,2287.35,156,2026-08-24
7531,7531.T,2016,3286.47,2729.07,87,2026-08-24
7531,7531.T,2017,7017.18,2839.22,253,2026-08-24
7531,7531.T,2018,7705.21,3820.92,261,2026-08-24
7531,7531.T,2019,3889.36,3225.1,241,2026-08-24
7531,7531.T,2020,3672.62,2201.72,242,2026-08-24
7531,7531.T,2021,3760.81,1896.67,245,2026-08-24
7531,7531.T,2022,2068.06,1366.06,244,2026-08-24
7531,7531.T,2023,1732.25,1336.22,246,2026-08-24
7531,7531.T,2024,1551.3,1221.46,245,2026-08-24
7531,7531.T,2025,1929.02,1252.48,243,2026-08-24
7531,7531.T,2026,1590.0,1252.0,155,2026-08-24
7537,7537.T,2016,457.91,346.51,87,2026-08-24
7537,7537.T,2017,775.03,433.98,253,2026-08-24
7537,7537.T,2018,841.84,421.51,261,2026-08-24
7537,7537.T,2019,515.33,367.44,241,2026-08-24
7537,7537.T,2020,492.25,293.63,242,2026-08-24
7537,7537.T,2021,753.32,377.74,245,2026-08-24
7537,7537.T,2022,838.79,494.88,244,2026-08-24
7537,7537.T,2023,1439.93,737.77,246,2026-08-24
7537,7537.T,2024,1609.85,781.64,245,2026-08-24
7537,7537.T,2025,1296.47,729.85,243,2026-08-24
7537,7537.T,2026,1924.0,1063.59,156,2026-08-24
7602,7602.T,2016,293.39,241.45,87,2026-08-24
7602,7602.T,2017,299.77,215.29,253,2026-08-24
7602,7602.T,2018,292.9,141.76,261,2026-08-24
7602,7602.T,2019,449.81,154.91,241,2026-08-24
7602,7602.T,2020,502.45,190.45,242,2026-08-24
7602,7602.T,2021,351.24,215.84,245,2026-08-24
7602,7602.T,2022,256.38,183.13,244,2026-08-24
7602,7602.T,2023,261.33,173.23,246,2026-08-24
7602,7602.T,2024,194.08,132.37,245,2026-08-24
7602,7602.T,2025,215.98,116.45,243,2026-08-24
7602,7602.T,2026,386.17,139.0,156,2026-08-24
7624,7624.T,2016,128.59,100.29,87,2026-08-24
7624,7624.T,2017,276.97,109.63,253,2026-08-24
7624,7624.T,2018,358.58,130.48,261,2026-08-24
7624,7624.T,2019,217.59,146.27,241,2026-08-24
7624,7624.T,2020,179.49,95.9,242,2026-08-24
7624,7624.T,2021,178.42,133.91,245,2026-08-24
7624,7624.T,2022,164.71,135.33,244,2026-08-24
7624,7624.T,2023,145.12,127.12,246,2026-08-24
7624,7624.T,2024,160.11,105.49,245,2026-08-24
7624,7624.T,2025,142.92,108.89,243,2026-08-24
7624,7624.T,2026,155.0,129.31,156,2026-08-24
7841,7841.T,2016,593.04,331.88,87,2026-08-24
7841,7841.T,2017,691.75,469.69,253,2026-08-24
7841,7841.T,2018,675.12,377.13,261,2026-08-24
7841,7841.T,2019,525.13,411.41,241,2026-08-24
7841,7841.T,2020,521.23,310.34,242,2026-08-24
7841,7841.T,2021,724.65,432.15,245,2026-08-24
7841,7841.T,2022,774.86,485.52,244,2026-08-24
7841,7841.T,2023,1043.36,642.35,246,2026-08-24
7841,7841.T,2024,1382.0,756.63,245,2026-08-24
7841,7841.T,2025,1387.48,968.82,243,2026-08-24
7841,7841.T,2026,1346.0,1040.0,156,2026-08-24
7859,7859.T,2016,144.67,124.68,87,2026-08-24
7859,7859.T,2017,396.0,125.87,253,2026-08-24
7859,7859.T,2018,296.5,138.43,261,2026-08-24
7859,7859.T,2019,241.52,141.38,241,2026-08-24
7859,7859.T,2020,312.21,101.12,242,2026-08-24
7859,7859.T,2021,306.32,141.38,245,2026-08-24
7859,7859.T,2022,812.91,143.34,244,2026-08-24
7859,7859.T,2023,1040.69,327.91,246,2026-08-24
7859,7859.T,2024,1446.16,254.28,245,2026-08-24
