sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period
9024,株式会社西武ホールディングス,547645000000,111059000000,547645000000,345364000000,NetAssets,0.6306,S100YEFI,2026-06-19,120,J-GAAP,連結,2026-03-31
7180,株式会社九州フィナンシャルグループ,3431000000,1238000000,3431000000,452189000000,NetAssets,131.7951,S100YAQW,2026-06-12,120,J-GAAP,連結,2026-03-31
6822,大井電気株式会社,11947898000,8658008000,11947898000,4332055000,NetAssets,0.3626,S100YI6A,2026-06-24,120,J-GAAP,連結,2026-03-31
436A,サイバーソリューションズ株式会社,1356994000,1002079000,33664000,2298321000,NetAssets,68.2724,S100YRSR,2026-07-24,120,J-GAAP,連結,2026-04-30
3134,Ｈａｍｅｅ株式会社,7394182000,5065562000,7394182000,3620172000,NetAssets,0.4896,S100YS4J,2026-07-24,120,J-GAAP,連結,2026-04-30
1766,東建コーポレーション株式会社,108471000000,63803000000,108471000000,94519000000,NetAssets,0.8714,S100YS6C,2026-07-24,120,J-GAAP,連結,2026-04-30
3180,株式会社ビューティガレージ,8849419000,301597000,8849419000,6012864000,NetAssets,0.6795,S100YS74,2026-07-24,120,J-GAAP,連結,2026-04-30
3091,株式会社ブロンコビリー,11556000000,288000000,11556000000,21717000000,NetAssets,1.8793,S100YRS1,2026-07-24,160,J-GAAP,個別,2026-12-31
2334,株式会社イオレ,920490000,596045000,920490000,310524000,NetAssets,0.3373,S100YMZU,2026-06-30,120,J-GAAP,連結,2026-03-31
1436,株式会社グリーンエナジー＆カンパニー,6428568000,2188278000,6428568000,4888070000,NetAssets,0.7604,S100YRWH,2026-07-23,120,J-GAAP,連結,2026-04-30
9268,株式会社オプティマスグループ,21440000000,35702000000,21440000000,13548000000,NetAssets,0.6319,S100YJVB,2026-06-24,120,J-GAAP,連結,2026-03-31
6814,古野電気株式会社,56621000000,828000000,25407000000,46516000000,NetAssets,1.8308,S100Y3Q6,2026-05-18,120,J-GAAP,連結,2026-02-28
7245,大同メタル工業株式会社,44668000000,792000000,44668000000,52888000000,NetAssets,1.184,S100YFV2,2026-06-22,120,J-GAAP,連結,2026-03-31
8935,株式会社ＦＪネクストホールディングス,14138000000,492000000,14138000000,54962000000,NetAssets,3.8875,S100YKKI,2026-06-25,120,J-GAAP,連結,2026-03-31
6418,日本金銭機械株式会社,22026456000,4496333000,22026456000,17886357000,NetAssets,0.812,S100YHD7,2026-06-23,120,J-GAAP,連結,2026-03-31
